,Gramas,ODS,,
1047,herbarios,Ciudades y comunidades sostenibles,,
1048,herbivoros,Vida de ecosistemas terrestres,,
1049,herpetofauna,Vida de ecosistemas terrestres,,
1050,herpetologicas,Salud y bienestar,,
1051,herrero,Trabajo decente y crecimiento económico,,
1052,heterociclos,Salud y bienestar,,
1053,hexahidrobenzo,Salud y bienestar,,
1054,hidraulicas,Agua limpia y saneamiento,,
1055,hidraulico,Agua limpia y saneamiento,,
1056,hidraulicos,Agua limpia y saneamiento,,
1057,hidrobiologia,Vida submarina;  Vida de ecosistemas terrestres ,,
1058,hidrobiologicas,Vida submarina;  Vida de ecosistemas terrestres ,,
1059,hidrobiologicos,Vida submarina;  Vida de ecosistemas terrestres ,,
1060,hidrocarburifero,"Industria, innovación e infraestructuras",,
1061,hidrocarburo,"Industria, innovación e infraestructuras",,
1062,hidrocarburos,"Industria, innovación e infraestructuras",,
1063,hidrodesulfuracion,"Industria, innovación e infraestructuras",,
1064,hidroelectrica,Energía asequible y no contaminante,,
1065,hidroelectricas,Energía asequible y no contaminante,,
1066,hidroelectrico,Energía asequible y no contaminante,,
1067,hidroelectricos,Energía asequible y no contaminante,,
1068,hidrofobico,"Industria, innovación e infraestructuras",,
1069,hidrogeles,"Industria, innovación e infraestructuras",,
1070,hidrografia,Agua limpia y saneamiento,,
1071,hidrologia,Agua limpia y saneamiento,,
1072,hidrologicas,Agua limpia y saneamiento,,
1073,hidrologico,Agua limpia y saneamiento,,
1074,hidrologicos,Agua limpia y saneamiento,,
1075,hidrometalurgia,"Industria, innovación e infraestructuras",,
1076,hidrometeorologicas,Agua limpia y saneamiento,,
1077,hidrometeorologico,Agua limpia y saneamiento,,
1078,hidrometeorologicos,Agua limpia y saneamiento,,
1079,hidroponicos,Producción y consumo responsable,,
1080,hidroretenedores,Ciudades y comunidades sostenibles,,
1081,hidrosistemas,Agua limpia y saneamiento,,
1082,hidrosolubles,"Industria, innovación e infraestructuras",,
1083,hidrotermales,Agua limpia y saneamiento,,
1084,higiene,Agua limpia y saneamiento,,
1085,hiperactividad,Salud y bienestar,,
1086,hipertension,Salud y bienestar,,
1087,hipertensiva,Salud y bienestar,,
1088,hipertropico,Salud y bienestar,,
1089,hipoacusia,Salud y bienestar,,
1090,hipoglicemiantes,Salud y bienestar,,
1091,hipopnea,Salud y bienestar,,
1092,histoplasma,Salud y bienestar,,
1093,histoplasmosis,Salud y bienestar,,
1094,hoja,Vida de ecosistemas terrestres,,
1095,hojas,Vida de ecosistemas terrestres,,
1096,holografico,"Industria, innovación e infraestructuras",,
1097,homobasidiomicetidas,Vida de ecosistemas terrestres,,
1098,homosexual,Igualdad de género,,
1099,homosexuales,Igualdad de género,,
1100,hormigas,Vida de ecosistemas terrestres,,
1101,hormigueo,Salud y bienestar,,
1102,hormonales,Salud y bienestar,,
1103,hormonas,Salud y bienestar,,
1104,hortalizas,Producción y consumo responsable,,
1105,horticolas,Producción y consumo responsable,,
1106,horticultura,Producción y consumo responsable,,
1107,hortofruticolas,Producción y consumo responsable,,
1108,hospitalaria,Salud y bienestar,,
1109,hospitalarias,Salud y bienestar,,
1110,hospitalario,Salud y bienestar,,
1111,hospitalizados,Salud y bienestar,,
1112,hostigamiento,"Paz, justicia e instituciones sólidas",,
1113,huerta,Producción y consumo responsable,,
1114,huerto,Producción y consumo responsable,,
1115,huevo,Producción y consumo responsable,,
1116,humanismo,"Paz, justicia e instituciones sólidas",,
1117,humanista,"Paz, justicia e instituciones sólidas",,
1118,humanistas,"Paz, justicia e instituciones sólidas",,
1119,humanitaria,"Paz, justicia e instituciones sólidas",,
1120,humanitario,"Paz, justicia e instituciones sólidas",,
1121,humedad,Acción por el clima,,
1122,huracanes,Acción por el clima,,
1123,hurto,"Paz, justicia e instituciones sólidas",,
1124,ictiologia,Vida submarina;  Vida de ecosistemas terrestres ,,
1125,identidad,Igualdad de género,,
1126,identitaria,Igualdad de género,,
1127,igualitarias,Reducción de desigualdades,,
1128,igualitario,Reducción de desigualdades,,
1129,imagenologia,Salud y bienestar,,
1130,imagenologico,Salud y bienestar,,
1131,imunologia,Salud y bienestar,,
1132,inalambrica,"Industria, innovación e infraestructuras",,
1133,inalambricas,"Industria, innovación e infraestructuras",,
1134,inalambrico,"Industria, innovación e infraestructuras",,
1135,incineracion,Ciudades y comunidades sostenibles,,
1136,incinerador,Ciudades y comunidades sostenibles,,
1137,incineradores,Ciudades y comunidades sostenibles,,
1138,incubacion,"Industria, innovación e infraestructuras",,
1139,incubadas,"Industria, innovación e infraestructuras",,
1140,incubadora,"Industria, innovación e infraestructuras",,
1141,incubadoras,"Industria, innovación e infraestructuras",,
1142,indigena,"Paz, justicia e instituciones sólidas",,
1143,industrializacion,"Industria, innovación e infraestructuras",,
1144,inequidad,Reducción de desigualdades,,
1145,infarto,Salud y bienestar,,
1146,infeccion,Salud y bienestar,,
1147,infecciosa,Salud y bienestar,,
1148,infecciosas,Salud y bienestar,,
1149,infeccioso,Salud y bienestar,,
1150,infecciosos,Salud y bienestar,,
1151,infectadas,Salud y bienestar,,
1152,infectados,Salud y bienestar,,
1153,inflamacion,Salud y bienestar,,
1154,inflamatorios,Salud y bienestar,,
1155,informacion,"Industria, innovación e infraestructuras",,
1156,informatica,"Industria, innovación e infraestructuras",,
1157,infraestructura,"Industria, innovación e infraestructuras",,
1158,infraestructuras,"Industria, innovación e infraestructuras",,
1159,ingresos,Fin de la pobreza,,
1160,inmigracion,"Paz, justicia e instituciones sólidas",,
1161,inmigrantes,"Paz, justicia e instituciones sólidas",,
1162,inmunizacion,Salud y bienestar,,
1163,inmunizantes,Salud y bienestar,,
1164,inmunobiologia,Salud y bienestar,,
1165,inmunodeficiencia,Salud y bienestar,,
1166,inmunodeficiencias,Salud y bienestar,,
1167,inmunodeficientes,Salud y bienestar,,
1168,inmunodeprimidos,Salud y bienestar,,
1169,inmunodermatologia,Salud y bienestar,,
1170,inmunoestimulantes,Salud y bienestar,,
1171,inmunogenetica,Salud y bienestar,,
1172,inmunogenicidad,Salud y bienestar,,
1173,inmunoglobulina,Salud y bienestar,,
1174,inmunoglobulinas,Salud y bienestar,,
1175,inmunohematologia,Salud y bienestar,,
1176,inmunologia,Salud y bienestar,,
1177,inmunologica,Salud y bienestar,,
1178,inmunologicos,Salud y bienestar,,
1179,inmunomarcadores,Salud y bienestar,,
1180,inmunoprotesosoma,Salud y bienestar,,
1181,inmunoquimica,Salud y bienestar,,
1182,inmunoreguladoras,Salud y bienestar,,
1183,inmunovirologia,Salud y bienestar,,
1184,inmunuidad,Salud y bienestar,,
1185,innovacion,"Industria, innovación e infraestructuras",,
1186,innovadora,"Industria, innovación e infraestructuras",,
1187,innovadoras,"Industria, innovación e infraestructuras",,
1188,innovadores,"Industria, innovación e infraestructuras",,
1189,insurgentes,"Paz, justicia e instituciones sólidas",,
1190,interferon,Salud y bienestar,,
1191,interoceanica,Vida submarina,,
1192,interoceanico,Vida submarina,,
1193,interoceanicos,Vida submarina,,
1194,intestinales,Salud y bienestar,,
1195,intoxicacion,Salud y bienestar,,
1196,intrafamiliar,"Paz, justicia e instituciones sólidas",,
1197,intrahospitalario,Salud y bienestar,,
1198,intramolecular,Salud y bienestar,,
1199,intranet,"Industria, innovación e infraestructuras",,
1200,intubados,Salud y bienestar,,
1201,inventoras,"Industria, innovación e infraestructuras",,
1202,invernadero,Producción y consumo responsable,,
1203,invernaderos,Producción y consumo responsable,,
1204,inversionistas,"Industria, innovación e infraestructuras",,
1205,isopropanol,"Industria, innovación e infraestructuras",,
1206,isopropilico,"Industria, innovación e infraestructuras",,
1207,isopropilos,"Industria, innovación e infraestructuras",,
1208,jerarquias,"Paz, justicia e instituciones sólidas",,
1209,jovenes,Trabajo decente y crecimiento económico,,
1210,juventud,Trabajo decente y crecimiento económico,,
1211,juventudes,Trabajo decente y crecimiento económico,,
1212,labora,Trabajo decente y crecimiento económico,,
1213,laboral,Trabajo decente y crecimiento económico,,
1214,lactantes,Salud y bienestar,,
1215,lactato,Salud y bienestar,,
1216,lacteas,Salud y bienestar,,
1217,lacteos,Salud y bienestar,,
1218,ladrilleras,Trabajo decente y crecimiento económico,,
1219,lagunas,Agua limpia y saneamiento,,
1220,laparoscopica,Salud y bienestar,,
1221,laptops,"Industria, innovación e infraestructuras",,
1222,laseres,"Industria, innovación e infraestructuras",,
1223,lechera,"Industria, innovación e infraestructuras",,
1224,lecheras,"Industria, innovación e infraestructuras",,
1225,lecheria,"Industria, innovación e infraestructuras",,
1226,lecherias,"Industria, innovación e infraestructuras",,
1227,lechero,Trabajo decente y crecimiento económico,,
1228,legitimacion,"Paz, justicia e instituciones sólidas",,
1229,legumbres,Producción y consumo responsable,,
1230,leguminosas,Producción y consumo responsable,,
1231,leishmaniasis,Salud y bienestar,,
1232,leishmaniavirus,Salud y bienestar,,
1233,leishmanicida,Salud y bienestar,,
1234,leishmanicidas,Salud y bienestar,,
1235,leishmaniosis,Salud y bienestar,,
1236,leñadores,Trabajo decente y crecimiento económico,,
1237,leptospirosis,Salud y bienestar,,
1238,leptostromasia,Salud y bienestar,,
1239,leucemia,Salud y bienestar,,
1240,lexicografia,Salud y bienestar,,
1241,limones,Producción y consumo responsable,,
1242,linfoblastica,Salud y bienestar,,
1243,linfocitaria,Salud y bienestar,,
1244,linfomas,Salud y bienestar,,
1245,liofilizacion,"Industria, innovación e infraestructuras",,
1246,liofilizado,"Industria, innovación e infraestructuras",,
1247,lisiado,Reducción de desigualdades,,
1248,litoral,Vida submarina,,
1249,lodo,Agua limpia y saneamiento,,
1250,loro,Vida de ecosistemas terrestres,,
1251,lubricantes,"Industria, innovación e infraestructuras",,
1252,macroalgas,Vida submarina,,
1253,maestra,Educación de calidad;  Trabajo decente y crecimiento económico,,
1254,maestro,Educación de calidad;  Trabajo decente y crecimiento económico,,
1255,maestras,Educación de calidad;  Trabajo decente y crecimiento económico,,
1256,maestrias,Educación de calidad,,
1257,magneticos,"Industria, innovación e infraestructuras",,
1258,magnetoelectrica,"Industria, innovación e infraestructuras",,
1259,magnetoelectrico,"Industria, innovación e infraestructuras",,
1260,magnetoesfericas,"Industria, innovación e infraestructuras",,
1261,magnetofonicas,"Industria, innovación e infraestructuras",,
1262,magnetometro,"Industria, innovación e infraestructuras",,
1263,maiz,Producción y consumo responsable,,
1264,malformaciones,Salud y bienestar,,
1265,malnutricion,Hambre cero,,
1266,mamario,Salud y bienestar,,
1267,mamiferos,Vida submarina,,
1268,mamografia,Salud y bienestar,,
1269,mamografica,Salud y bienestar,,
1270,mamograficas,Salud y bienestar,,
1271,mango,Producción y consumo responsable,,
1272,manifestacion,"Paz, justicia e instituciones sólidas",,
1273,manufactura,"Industria, innovación e infraestructuras",,
1274,manufacturas,"Industria, innovación e infraestructuras",,
1275,manufactureras,"Industria, innovación e infraestructuras",,
1276,manufacturero,"Industria, innovación e infraestructuras",,
1277,manzana,Producción y consumo responsable,,
1278,manzano,Producción y consumo responsable,,
1279,mareografos,Vida submarina,,
1280,mareos,Salud y bienestar,,
1281,marginados,Reducción de desigualdades,,
1282,marginal,Reducción de desigualdades,,
1283,marginales,Reducción de desigualdades,,
1284,marginalidad,Reducción de desigualdades,,
1285,maricultura,Producción y consumo responsable,,
1286,marihuana,"Paz, justicia e instituciones sólidas",,
1287,mariposas,Vida de ecosistemas terrestres,,
1288,maritima,Vida submarina,,
1289,maritimo,Vida submarina,,
1290,masacre,"Paz, justicia e instituciones sólidas",,
1291,matriculacion,Educación de calidad,,
1292,matriculas,Educación de calidad,,
1293,mayonesa,"Industria, innovación e infraestructuras",,
1294,mecabot,"Industria, innovación e infraestructuras",,
1295,mecanicos,"Industria, innovación e infraestructuras",,
1296,mecanobiologia,"Industria, innovación e infraestructuras",,
1297,mecanograficos,"Industria, innovación e infraestructuras",,
1298,mecatronicas,"Industria, innovación e infraestructuras",,
1299,mediaciones,"Paz, justicia e instituciones sólidas",,
1300,medica,Salud y bienestar,,
1301,medicamentos,Salud y bienestar,,
1302,medicando,Salud y bienestar,,
1303,medicas,Salud y bienestar,,
1304,medicina,Salud y bienestar,,
1305,medicinal,Salud y bienestar,,
1306,medicinas,Salud y bienestar,,
1307,medico,Salud y bienestar,,
1308,medicos,Salud y bienestar,,
1309,medioambiental,Acción por el clima;  Vida submarina;  Vida de ecosistemas terrestres,,
1310,medioambientales,Acción por el clima;  Vida submarina;  Vida de ecosistemas terrestres,,  Vida de ecosistemas terrestres
1311,medioambiente,Acción por el clima;  Vida submarina;  Vida de ecosistemas terrestres,,  Vida de ecosistemas terrestres
1312,megavatios,Energía asequible y no contaminante,,
1313,meningoencefalitis,Salud y bienestar,,
1314,mercadotecnica,"Industria, innovación e infraestructuras",,
1315,mermeladas,"Industria, innovación e infraestructuras",,
1316,mestizos,"Paz, justicia e instituciones sólidas",,
1317,metabolicas,Hambre cero,,
1318,metabolico,Hambre cero,,
1319,metabolicos,Hambre cero,,
1320,metabolito,Hambre cero,,
1321,metadatos,"Industria, innovación e infraestructuras",,
1322,metagenomica,"Industria, innovación e infraestructuras",,
1323,metagenomico,"Industria, innovación e infraestructuras",,
1324,metagenomicos,"Industria, innovación e infraestructuras",,
1325,metalografica,"Industria, innovación e infraestructuras",,
1326,metalurgicas,"Industria, innovación e infraestructuras",,
1327,metalurgico,"Industria, innovación e infraestructuras",,
1328,metalurgicos,"Industria, innovación e infraestructuras",,
1329,metamorficas,"Industria, innovación e infraestructuras",,
1330,metarlurgia,"Industria, innovación e infraestructuras",,
1331,metastasico,Salud y bienestar,,
1332,meteorologia,Acción por el clima,,
1333,meteorologica,Acción por el clima,,
1334,meteorologicos,Acción por el clima,,
1335,metereologia,Acción por el clima,,
1336,micoplasmas,Salud y bienestar,,
1337,microbial,Salud y bienestar,,
1338,microbiana,Salud y bienestar,,
1339,microbianas,Salud y bienestar,,
1340,microbiano,Salud y bienestar,,
1341,microbiologia,Salud y bienestar,,
1342,microbiologica,Salud y bienestar,,
1343,microbiologicas,Salud y bienestar,,
1344,microbiologicos,Salud y bienestar,,
1345,microbioma,Vida submarina;  Vida de ecosistemas terrestres ,,
1346,microbiomas,Vida submarina;  Vida de ecosistemas terrestres ,,
1347,microbiota,Vida submarina;  Vida de ecosistemas terrestres ,,
1348,microcefalia,Salud y bienestar,,
1349,microcontroladores,"Industria, innovación e infraestructuras",,
1350,microcuenca,Agua limpia y saneamiento,,
1351,microcuencas,Agua limpia y saneamiento,,
1352,microelectrodos,"Industria, innovación e infraestructuras",,
1353,microelectronica,"Industria, innovación e infraestructuras",,
1354,microempresa,"Industria, innovación e infraestructuras",,
1355,microempresarios,"Industria, innovación e infraestructuras",,
1356,microempresas,"Industria, innovación e infraestructuras",,
1357,microencapsulacion,"Industria, innovación e infraestructuras",,
1358,microencapsulado,"Industria, innovación e infraestructuras",,
1359,microestructura,"Industria, innovación e infraestructuras",,
1360,microestructurales,"Industria, innovación e infraestructuras",,
1361,microestructuras,"Industria, innovación e infraestructuras",,
1362,microfabricacion,"Industria, innovación e infraestructuras",,
1363,microglobulina,"Industria, innovación e infraestructuras",,
1364,micronutrientes,Hambre cero,,
1365,microparticulas,Acción por el clima,,
1366,microplasticos,Ciudades y comunidades sostenibles; Producción y consumo responsible,,
1367,microtubos,"Industria, innovación e infraestructuras",,
1368,microturbinas,"Industria, innovación e infraestructuras",,
1369,mielodisplasicos,Salud y bienestar,,
1370,mieloma,Salud y bienestar,,
1371,migrante,"Paz, justicia e instituciones sólidas",,
1372,migrantes,"Paz, justicia e instituciones sólidas",,
1373,migratorio,"Paz, justicia e instituciones sólidas",,
1374,migratorios,"Paz, justicia e instituciones sólidas",,
1375,militar,"Paz, justicia e instituciones sólidas",,
1376,militarizacion,"Paz, justicia e instituciones sólidas",,
1377,minera,"Industria, innovación e infraestructuras",,
1378,mineras,"Industria, innovación e infraestructuras",,
1379,mineros,"Industria, innovación e infraestructuras",,
1380,minorias,Reducción de desigualdades,,
1381,mitilicultura,Producción y consumo responsable,,
1382,monopolio,"Paz, justicia e instituciones sólidas",,
1383,moras,Producción y consumo responsable,,
1384,morbilidad,Salud y bienestar,,
1385,morbimortalidad,Salud y bienestar,,
1386,mortalidad,Salud y bienestar,,
1387,movilizacion,"Paz, justicia e instituciones sólidas",,
1388,mucosa,Salud y bienestar,,
1389,muela,Salud y bienestar,,
1390,multicultural,"Paz, justicia e instituciones sólidas",,
1391,multiculturalidad,"Paz, justicia e instituciones sólidas",,
1392,multisensoriales,"Industria, innovación e infraestructuras",,
1393,murcielagos,Vida de ecosistemas terrestres,,
1394,mutaciones,Salud y bienestar,,
1395,mutagenica,Salud y bienestar,,
1396,mutagenicas,Salud y bienestar,,
1397,mutagenicidad,Salud y bienestar,,
1398,mutagenico,Salud y bienestar,,
1399,mutagenicos,Salud y bienestar,,
1400,mutageno,Salud y bienestar,,
1401,mycobacterium,Salud y bienestar,,
1402,nanobiologia,"Industria, innovación e infraestructuras",,
1403,nanobiotecnologia,"Industria, innovación e infraestructuras",,
1404,nanocompuesto,"Industria, innovación e infraestructuras",,
1405,nanocompuestos,"Industria, innovación e infraestructuras",,
1406,nanocontenedor,"Industria, innovación e infraestructuras",,
1407,nanocontenedroes,"Industria, innovación e infraestructuras",,
1408,nanoencapsulacion,"Industria, innovación e infraestructuras",,
1409,nanoencapsulados,"Industria, innovación e infraestructuras",,
1410,nanoestructurada,"Industria, innovación e infraestructuras",,
1411,nanoestructuradas,"Industria, innovación e infraestructuras",,
1412,nanoestructurado,"Industria, innovación e infraestructuras",,
1413,nanoestructurados,"Industria, innovación e infraestructuras",,
1414,nanoestructuras,"Industria, innovación e infraestructuras",,
1415,nanofibras,"Industria, innovación e infraestructuras",,
1416,nanofluidos,"Industria, innovación e infraestructuras",,
1417,nanofotonica,"Industria, innovación e infraestructuras",,
1418,nanohilos,"Industria, innovación e infraestructuras",,
1419,nanoinmunoterapia,Salud y bienestar,,
1420,nanomateriales,"Industria, innovación e infraestructuras",,
1421,nanorecubrimiento,"Industria, innovación e infraestructuras",,
1422,nanoreforzado,"Industria, innovación e infraestructuras",,
1423,nanoreforzados,"Industria, innovación e infraestructuras",,
1424,nanosatelite,"Industria, innovación e infraestructuras",,
1425,nanosatelites,"Industria, innovación e infraestructuras",,
1426,nanosensores,"Industria, innovación e infraestructuras",,
1427,nanosistema,"Industria, innovación e infraestructuras",,
1428,nanotech,"Industria, innovación e infraestructuras",,
1429,nanotecnologia,"Industria, innovación e infraestructuras",,
1430,nanotecnologias,"Industria, innovación e infraestructuras",,
1431,nanotecnologicos,"Industria, innovación e infraestructuras",,
1432,nanovehiculos,"Industria, innovación e infraestructuras",,
1433,narcotico,"Salud y bienestar; Paz, justicia e instituciones sólidas",,
1434,nariz,Salud y bienestar,,
1435,nauseas,Salud y bienestar,,
1436,naviera,"Industria, innovación e infraestructuras",,
1437,negocio,"Industria, innovación e infraestructuras",,
1438,neonatologia,Salud y bienestar,,
1439,neonatos,Salud y bienestar,,
1440,nerviosas,Salud y bienestar,,
1441,neumologia,Salud y bienestar,,
1442,neuro,Salud y bienestar,,
1443,neurobiologia,Salud y bienestar,,
1444,neurobiologicas,Salud y bienestar,,
1445,neurobioquimica,Salud y bienestar,,
1446,neuroblastoma,Salud y bienestar,,
1447,neurocognicion,Salud y bienestar,,
1448,neurocognitivo,Salud y bienestar,,
1449,neuroconductual,Salud y bienestar,,
1450,neurodegeneration,Salud y bienestar,,
1451,neurodegenerativas,Salud y bienestar,,
1452,neurodesarrollo,Salud y bienestar,,
1453,neurodifusos,Salud y bienestar,,
1454,neuroesteroides,Salud y bienestar,,
1455,neurofisiolofico,Salud y bienestar,,
1456,neurofisiologia,Salud y bienestar,,
1457,neurofisiologicos,Salud y bienestar,,
1458,neurogenesis,Salud y bienestar,,
1459,neurogenica,Salud y bienestar,,
1460,neurohormonales,Salud y bienestar,,
1461,neuroinflamacion,Salud y bienestar,,
1462,neurologicas,Salud y bienestar,,
1463,neurologico,Salud y bienestar,,
1464,neurologicos,Salud y bienestar,,
1465,neurologo,Trabajo decente y crecimiento económico,,
1466,neuromielitis,Salud y bienestar,,
1467,neuromotor,Salud y bienestar,,
1468,neuromuscular,Salud y bienestar,,
1469,neuropatia,Salud y bienestar,,
1470,neuropatias,Salud y bienestar,,
1471,neuropatica,Salud y bienestar,,
1472,neuropatico,Salud y bienestar,,
1473,neuropedagogia,Salud y bienestar,,
1474,neuroproteccion,Salud y bienestar,,
1475,neuropsicologia,Salud y bienestar,,
1476,neuropsicologicas,Salud y bienestar,,
1477,neuropsiquiatria,Salud y bienestar,,
1478,neuropsiquiatricas,Salud y bienestar,,
1479,neuropsiquiatrico,Salud y bienestar,,
1480,neuropsiquiatricos,Salud y bienestar,,
1481,neurorehabilitacion,Salud y bienestar,,
1482,neurotoxicidad,Salud y bienestar,,
1483,neurotoxicos,Salud y bienestar,,
1484,neurotoxinas,Salud y bienestar,,
1485,neurotropicas,Salud y bienestar,,
1486,neurovascular,Salud y bienestar,,
1487,nevada,Acción por el clima,,
1488,nevado,Acción por el clima,,
1489,nocivas,Salud y bienestar,,
1490,nubes,Acción por el clima,,
1492,nutricion,Hambre cero,,
1493,nutricionales,Hambre cero,,
1494,nutrientes,Hambre cero,,
1495,nutritiva,Hambre cero,,
1496,nutritivo,Hambre cero,,
1497,obsolescencia,Producción y consumo responsable,,
1498,obstetrica,Salud y bienestar,,
1499,obstetricas,Salud y bienestar,,
1500,oceanico,Vida submarina,,
1501,oceanografia,Vida submarina,,
1502,oceanografica,Vida submarina,,
1503,oceanograficas,Vida submarina,,
1504,oceanografico,Vida submarina,,
1505,oceanograficos,Vida submarina,,
1506,oceanologia,Vida submarina,,
1507,oceanos,Vida submarina,,
1508,odontologia,Salud y bienestar,,
1509,odontologica,Salud y bienestar,,
1510,odontologicas,Salud y bienestar,,
1511,odontologico,Salud y bienestar,,
1512,odontologicos,Salud y bienestar,,
1513,odontologo,rabajo decente y crecimiento económico,,
1514,oftalmologia,Salud y bienestar,,
1515,oftalmologica,Salud y bienestar,,
1516,ojos,Salud y bienestar,,
1517,olfativa,Salud y bienestar,,
1518,oncohematologia,Salud y bienestar,,
1519,oncologia,Salud y bienestar,,
1520,oncologica,Salud y bienestar,,
1521,oncologicos,Salud y bienestar,,
1522,oncologos,Salud y bienestar,,
1523,oncornavirus,Salud y bienestar,,
1524,oportunidades,Reducción de desigualdade;  Fin de la pobreza,,
1525,opticas,Salud y bienestar,,
1526,optometria,Salud y bienestar,,
1527,optometrla,Salud y bienestar,,
1528,orca,Vida submarina,,
1529,organica,Producción y consumo responsible;  Salud y bienestar,,
1530,organicas,Producción y consumo responsible;  Salud y bienestar,,
1531,organico,Producción y consumo responsible;  Salud y bienestar,,
1532,organicos,Producción y consumo responsible;  Salud y bienestar,,
1533,ortodoncia,Salud y bienestar,,
1534,ortopedica,Salud y bienestar,,
1535,oseo,Salud y bienestar,,
1536,osteoblastos,Salud y bienestar,,
1537,osteomuscular,Salud y bienestar,,
1538,osteomusculares,Salud y bienestar,,
1539,osteosintesis,Salud y bienestar,,
1540,otorrino,Salud y bienestar,,
1541,otorrinolaringologia,Salud y bienestar,,
1542,ototoxico,Salud y bienestar,,
1543,pandemias,Salud y bienestar,,
1544,pandillas,"Paz, justicia e instituciones sólidas",,
1545,papas,Producción y consumo responsable,,
1546,papillomavirus,Salud y bienestar,,
1547,papiloma,Salud y bienestar,,
1548,paraclinicos,Salud y bienestar,,
1549,parasitoides,Salud y bienestar,,
1550,parasitologia,Salud y bienestar,,
1551,parteras,Salud y bienestar,,
1552,participativo,"Paz, justicia e instituciones sólidas",,
1553,participativos,"Paz, justicia e instituciones sólidas",,
1554,parto,Salud y bienestar,,
1555,parvularia,Educación de calidad,,
1556,parvulos,Educación de calidad,,
1557,pasteurizacion,"Industria, innovación e infraestructuras",,
1558,patentables,"Industria, innovación e infraestructuras",,
1559,patentados,"Industria, innovación e infraestructuras",,
1560,patente,"Industria, innovación e infraestructuras",,
1561,patentes,"Industria, innovación e infraestructuras",,
1562,patobiologia,Salud y bienestar,,
1563,patogenesis,Salud y bienestar,,
1564,patogenica,Salud y bienestar,,
1565,patogenicidad,Salud y bienestar,,
1566,patogenicos,Salud y bienestar,,
1567,patogenos,Salud y bienestar,,
1568,patologias,Salud y bienestar,,
1569,paz,"Paz, justicia e instituciones sólidas",,
1570,peces,Vida submarina;  Vida de ecosistemas terrestres ,,
1571,pecuaria,Producción y consumo responsable,,
1572,pedagogia,Educación de calidad,,
1573,pedagogica,Educación de calidad,,
1574,pedagogicas,Educación de calidad,,
1575,pedagogico,Educación de calidad,,
1576,pediatria,Salud y bienestar,,
1577,pediatrica,Salud y bienestar,,
1578,pediatricos,Salud y bienestar,,
1579,peptidos,Salud y bienestar,,
1580,perinatales,Salud y bienestar,,
1581,periurbana,"Paz, justicia e instituciones sólidas",,
1582,periurbanas,"Paz, justicia e instituciones sólidas",,
1583,pesqueria,Producción y consumo responsable,,
1584,pesqueros,Producción y consumo responsable,,
1585,pestivirus,Salud y bienestar,,
1586,petroleras,"Industria, innovación e infraestructuras",,
1587,petroliferas,"Industria, innovación e infraestructuras",,
1588,petrologia,"Industria, innovación e infraestructuras",,
1589,petroquimica,"Industria, innovación e infraestructuras",,
1590,pieles,"Industria, innovación e infraestructuras",,
1591,piña,Producción y consumo responsable,,
1592,piñales,Producción y consumo responsable,,
1593,piscicultura,Producción y consumo responsable,,
1594,placenta,Salud y bienestar,,
1595,placentaria,Salud y bienestar,,
1596,plagicidas,"Industria, innovación e infraestructuras",,
1597,plaguicidas,"Industria, innovación e infraestructuras",,
1598,planeta,Ciudades y comunidades sostenibles,,
1599,plantacion,Producción y consumo responsable,,
1600,plantaciones,Producción y consumo responsable,,
1601,plantar,Producción y consumo responsable,,
1602,plantas,Producción y consumo responsable,,
1603,plasticos,Ciudades y comunidades sostenibles,,
1604,platanal,Producción y consumo responsable,,
1605,pluma,Vida de ecosistemas terrestres,,
1606,plumas,Vida de ecosistemas terrestres,,
1607,pobreza,Fin de la pobreza,,
1608,policial,"Paz, justicia e instituciones sólidas",,
1609,policiales,"Paz, justicia e instituciones sólidas",,
1610,polimericas,"Industria, innovación e infraestructuras",,
1611,polimerico,"Industria, innovación e infraestructuras",,
1612,polimerizacion,"Industria, innovación e infraestructuras",,
1613,polimeros,"Industria, innovación e infraestructuras",,
1614,polinizadores,Vida de ecosistemas terrestres,,
1615,poliomielitis,Salud y bienestar,,
1616,porcicolas,"Industria, innovación e infraestructuras",,
1617,porcicultores,"Industria, innovación e infraestructuras",,
1618,porcino,"Industria, innovación e infraestructuras",,
1619,porcinos,"Industria, innovación e infraestructuras",,
1620,posconsumo,Producción y consumo responsable,,
1621,poscosecha,Producción y consumo responsable,,
1622,posnatales,Salud y bienestar,,
1623,postconflicto,"Paz, justicia e instituciones sólidas",,
1624,postcosecha,Producción y consumo responsable,,
1625,postdoctorado,Educación de calidad,,
1626,postdoctorados,Educación de calidad,,
1627,postdoctorales,Educación de calidad,,
1628,postdoctorandos,Educación de calidad,,
1629,postdoctorante,Educación de calidad,,
1630,postdoctorantes,Educación de calidad,,
1631,postgrado,Educación de calidad,,
1632,postnatal,Salud y bienestar,,
1633,postoperatorio,Salud y bienestar,,
1634,postpademia,Salud y bienestar,,
1635,postraumatico,Salud y bienestar,,
1636,potabilizadora,Agua limpia y saneamiento,,
1637,potable,Agua limpia y saneamiento,,
1638,potables,Agua limpia y saneamiento,,
1639,precipitaciones,Acción por el clima,,
1640,precomercial,"Industria, innovación e infraestructuras",,
1641,preescolar,Educación de calidad,,
1642,preescolares,Educación de calidad,,
1643,prefabricados,"Industria, innovación e infraestructuras",,
1644,preinflamatorios,Salud y bienestar,,
1645,prenatal,Salud y bienestar,,
